datetime_utc,site_no,qual_cd,discharge_cms
2021-05-03 14:10:00+00:00,03431040,A,8.099
2021-05-03 14:20:00+00:00,03431040,A,9.288
2021-05-03 14:25:00+00:00,03431040,A,8.693
2021-05-03 14:30:00+00:00,03431040,A,8.75
2021-05-03 14:35:00+00:00,03431040,A,9.288
2021-05-03 14:40:00+00:00,03431040,A,9.288
2021-05-03 14:50:00+00:00,03431040,A,8.693
2021-05-03 14:55:00+00:00,03431040,A,8.353
2021-05-03 15:00:00+00:00,03431040,A,8.099
2021-08-01 04:10:00+00:00,03431040,A,8.014
2021-08-01 04:15:00+00:00,03431040,A,12.856
2021-08-01 04:20:00+00:00,03431040,A,17.16
2021-08-01 04:25:00+00:00,03431040,A,22.059
2021-08-01 04:30:00+00:00,03431040,A,24.466
2021-08-01 04:35:00+00:00,03431040,A,27.071
2021-08-01 04:40:00+00:00,03431040,A,29.733
2021-08-01 04:45:00+00:00,03431040,A,30.865
2021-08-01 04:50:00+00:00,03431040,A,30.865
2021-08-01 04:55:00+00:00,03431040,A,30.865
2021-08-01 05:00:00+00:00,03431040,A,32.281
2021-08-01 05:05:00+00:00,03431040,A,33.98
2021-08-01 05:10:00+00:00,03431040,A,33.414
2021-08-01 05:15:00+00:00,03431040,A,33.697
2021-08-01 05:20:00+00:00,03431040,A,33.414
2021-08-01 05:25:00+00:00,03431040,A,33.697
2021-08-01 05:30:00+00:00,03431040,A,33.414
2021-08-01 05:35:00+00:00,03431040,A,34.263
2021-08-01 05:40:00+00:00,03431040,A,34.263
2021-08-01 05:45:00+00:00,03431040,A,33.131
2021-08-01 05:50:00+00:00,03431040,A,34.263
2021-08-01 05:55:00+00:00,03431040,A,31.715
2021-08-01 06:00:00+00:00,03431040,A,29.166
2021-08-01 06:05:00+00:00,03431040,A,27.92
2021-08-01 06:10:00+00:00,03431040,A,24.919
2021-08-01 06:15:00+00:00,03431040,A,21.351
2021-08-01 06:20:00+00:00,03431040,A,18.859
2021-08-01 06:25:00+00:00,03431040,A,15.801
2021-08-01 06:30:00+00:00,03431040,A,11.893
2021-08-01 06:35:00+00:00,03431040,A,10.194
2021-08-01 06:40:00+00:00,03431040,A,9.628
2021-08-01 06:45:00+00:00,03431040,A,7.872
2021-08-31 10:35:00+00:00,03431040,A,8.297
2021-08-31 10:40:00+00:00,03431040,A,8.693
2021-08-31 10:45:00+00:00,03431040,A,8.863
