datetime_utc,site_no,qual_cd,discharge_cms
2021-08-01 03:45:00+00:00,03431100,A,1.787
2021-08-01 03:50:00+00:00,03431100,A,2.631
2021-08-01 03:55:00+00:00,03431100,A,4.389
2021-08-01 04:00:00+00:00,03431100,A,5.493
2021-08-01 04:05:00+00:00,03431100,A,6.683
2021-08-01 04:10:00+00:00,03431100,A,7.759
2021-08-01 04:15:00+00:00,03431100,A,8.24
2021-08-01 04:20:00+00:00,03431100,A,8.523
2021-08-01 04:25:00+00:00,03431100,A,8.495
2021-08-01 04:30:00+00:00,03431100,A,8.41
2021-08-01 04:35:00+00:00,03431100,A,7.929
2021-08-01 04:40:00+00:00,03431100,A,6.768
2021-08-01 04:45:00+00:00,03431100,A,5.437
2021-08-01 04:50:00+00:00,03431100,A,4.134
2021-08-01 04:55:00+00:00,03431100,A,3.228
2021-08-01 05:00:00+00:00,03431100,A,2.73
2021-08-01 05:05:00+00:00,03431100,A,2.345
2021-08-01 05:10:00+00:00,03431100,A,2.056
2021-08-01 05:15:00+00:00,03431100,A,1.826
2021-08-01 05:20:00+00:00,03431100,A,1.691
2021-08-01 05:25:00+00:00,03431100,A,1.54
2021-08-01 05:30:00+00:00,03431100,A,1.433
2021-08-31 17:55:00+00:00,03431100,A,1.433
2021-08-31 18:00:00+00:00,03431100,A,1.577
2021-08-31 18:05:00+00:00,03431100,A,1.614
2021-08-31 18:10:00+00:00,03431100,A,1.577
2021-08-31 18:15:00+00:00,03431100,A,1.557
2021-08-31 18:20:00+00:00,03431100,A,1.467
2021-08-31 18:25:00+00:00,03431100,A,1.45
2021-08-31 18:30:00+00:00,03431100,A,1.416
2021-08-31 18:35:00+00:00,03431100,A,1.416
2021-08-31 18:40:00+00:00,03431100,A,1.433
2021-08-31 18:45:00+00:00,03431100,A,1.487
2021-08-31 18:50:00+00:00,03431100,A,1.577
2021-08-31 18:55:00+00:00,03431100,A,1.634
2021-08-31 19:00:00+00:00,03431100,A,1.71
2021-08-31 19:05:00+00:00,03431100,A,1.671
2021-08-31 19:10:00+00:00,03431100,A,1.634
2021-08-31 19:15:00+00:00,03431100,A,1.597
2021-08-31 19:20:00+00:00,03431100,A,1.504
2021-08-31 19:25:00+00:00,03431100,A,1.416
2021-09-18 15:45:00+00:00,03431100,A,3.058
2021-09-18 15:50:00+00:00,03431100,A,4.304
2021-09-18 15:55:00+00:00,03431100,A,5.012
2021-09-18 16:00:00+00:00,03431100,A,6.003
2021-09-18 16:05:00+00:00,03431100,A,6.768
2021-09-18 16:10:00+00:00,03431100,A,7.221
