datetime_utc,site_no,qual_cd,discharge_cms
2021-04-24 13:30:00+00:00,02423110,A,2.775
2021-04-24 13:45:00+00:00,02423110,A,2.82
2021-04-24 14:00:00+00:00,02423110,A,2.917
2021-04-24 14:15:00+00:00,02423110,A,2.973
2021-04-24 14:30:00+00:00,02423110,A,2.973
2021-04-24 14:45:00+00:00,02423110,A,2.917
2021-04-24 15:00:00+00:00,02423110,A,2.86
2021-04-24 15:15:00+00:00,02423110,A,2.917
2021-05-04 19:45:00+00:00,02423110,A,3.455
2021-05-04 20:00:00+00:00,02423110,A,4.078
2021-05-04 20:15:00+00:00,02423110,A,4.701
2021-05-04 20:30:00+00:00,02423110,A,5.239
2021-05-04 20:45:00+00:00,02423110,A,5.012
2021-05-04 21:00:00+00:00,02423110,A,4.701
2021-05-04 21:15:00+00:00,02423110,A,4.361
2021-05-04 21:30:00+00:00,02423110,A,3.964
2021-05-04 21:45:00+00:00,02423110,A,3.681
2021-05-04 22:00:00+00:00,02423110,A,3.455
2021-05-04 22:15:00+00:00,02423110,A,3.313
2021-05-04 22:30:00+00:00,02423110,A,3.256
2021-05-04 22:45:00+00:00,02423110,A,3.596
2021-05-04 23:00:00+00:00,02423110,A,4.644
2021-05-04 23:15:00+00:00,02423110,A,6.938
2021-05-04 23:30:00+00:00,02423110,A,8.438
2021-05-04 23:45:00+00:00,02423110,A,8.807
2021-05-05 00:00:00+00:00,02423110,A,9.911
2021-05-05 00:15:00+00:00,02423110,A,10.845
2021-05-05 00:30:00+00:00,02423110,A,11.553
2021-05-05 00:45:00+00:00,02423110,A,12.091
2021-05-05 01:00:00+00:00,02423110,A,12.176
2021-05-05 01:15:00+00:00,02423110,A,12.176
2021-05-05 01:30:00+00:00,02423110,A,11.921
2021-05-05 01:45:00+00:00,02423110,A,11.468
2021-05-05 02:00:00+00:00,02423110,A,10.93
2021-05-05 02:15:00+00:00,02423110,A,10.675
2021-05-05 02:30:00+00:00,02423110,A,10.081
2021-05-05 02:45:00+00:00,02423110,A,9.514
2021-05-05 03:00:00+00:00,02423110,A,9.033
2021-05-05 03:15:00+00:00,02423110,A,8.665
2021-05-05 03:30:00+00:00,02423110,A,8.495
2021-05-05 03:45:00+00:00,02423110,A,7.985
2021-05-05 04:00:00+00:00,02423110,A,7.561
2021-05-05 04:15:00+00:00,02423110,A,7.419
2021-05-05 04:30:00+00:00,02423110,A,6.853
2021-05-05 04:45:00+00:00,02423110,A,6.796
2021-05-05 05:00:00+00:00,02423110,A,6.541
2021-05-05 05:15:00+00:00,02423110,A,6.343
2021-05-05 05:30:00+00:00,02423110,A,6.145
2021-05-05 05:45:00+00:00,02423110,A,6.286
2021-05-05 06:00:00+00:00,02423110,A,5.777
2021-05-05 06:15:00+00:00,02423110,A,5.607
2021-05-05 06:30:00+00:00,02423110,A,5.493
2021-05-05 06:45:00+00:00,02423110,A,5.607
2021-05-05 07:00:00+00:00,02423110,A,5.125
2021-05-05 07:15:00+00:00,02423110,A,4.955
2021-05-05 07:30:00+00:00,02423110,A,4.842
2021-05-05 07:45:00+00:00,02423110,A,4.955
2021-05-05 08:00:00+00:00,02423110,A,4.701
2021-05-05 08:15:00+00:00,02423110,A,4.417
2021-05-05 08:30:00+00:00,02423110,A,4.361
2021-05-05 08:45:00+00:00,02423110,A,4.332
2021-05-05 09:00:00+00:00,02423110,A,4.332
2021-05-05 09:15:00+00:00,02423110,A,4.474
2021-05-05 09:30:00+00:00,02423110,A,4.106
2021-05-05 09:45:00+00:00,02423110,A,4.219
2021-05-05 10:00:00+00:00,02423110,A,4.276
2021-05-05 10:15:00+00:00,02423110,A,3.964
2021-05-05 10:30:00+00:00,02423110,A,4.078
2021-05-05 10:45:00+00:00,02423110,A,3.964
2021-05-05 11:00:00+00:00,02423110,A,3.766
2021-05-05 11:15:00+00:00,02423110,A,3.681
2021-05-05 11:30:00+00:00,02423110,A,3.625
2021-05-05 11:45:00+00:00,02423110,A,3.596
2021-05-05 12:00:00+00:00,02423110,A,3.54
2021-05-05 12:15:00+00:00,02423110,A,3.483
2021-05-05 12:30:00+00:00,02423110,A,3.455
2021-05-05 12:45:00+00:00,02423110,A,3.398
2021-05-05 13:00:00+00:00,02423110,A,3.54
2021-05-05 13:15:00+00:00,02423110,A,3.228
2021-05-05 13:30:00+00:00,02423110,A,3.256
2021-05-05 13:45:00+00:00,02423110,A,3.171
2021-05-05 14:00:00+00:00,02423110,A,3.228
2021-05-05 14:15:00+00:00,02423110,A,3.115
2021-05-05 14:30:00+00:00,02423110,A,3.115
2021-05-05 14:45:00+00:00,02423110,A,3.058
2021-05-05 15:00:00+00:00,02423110,A,3.03
2021-05-05 15:15:00+00:00,02423110,A,3.03
2021-05-05 15:30:00+00:00,02423110,A,2.917
2021-05-05 15:45:00+00:00,02423110,A,2.917
