datetime_utc,site_no,qual_cd,discharge_cms
2021-04-24 06:00:00+00:00,02486100,A,10.93
2021-04-24 06:15:00+00:00,02486100,A,23.078
2021-04-24 06:30:00+00:00,02486100,A,38.228
2021-04-24 06:45:00+00:00,02486100,A,48.988
2021-04-24 07:00:00+00:00,02486100,A,60.315
2021-04-24 07:15:00+00:00,02486100,A,68.81
2021-04-24 07:30:00+00:00,02486100,A,73.624
2021-04-24 07:45:00+00:00,02486100,A,74.473
2021-04-24 08:00:00+00:00,02486100,A,74.19
2021-04-24 08:15:00+00:00,02486100,A,77.022
2021-04-24 08:30:00+00:00,02486100,A,80.42
2021-04-24 08:45:00+00:00,02486100,A,81.836
2021-04-24 09:00:00+00:00,02486100,A,80.703
2021-04-24 09:15:00+00:00,02486100,A,77.022
2021-04-24 09:30:00+00:00,02486100,A,73.057
2021-04-24 09:45:00+00:00,02486100,A,69.093
2021-04-24 10:00:00+00:00,02486100,A,65.412
2021-04-24 10:15:00+00:00,02486100,A,60.881
2021-04-24 10:30:00+00:00,02486100,A,55.501
2021-04-24 10:45:00+00:00,02486100,A,48.988
2021-04-24 11:00:00+00:00,02486100,A,42.475
2021-04-24 11:15:00+00:00,02486100,A,35.679
2021-04-24 11:30:00+00:00,02486100,A,29.733
2021-04-24 11:45:00+00:00,02486100,A,32.564
2021-04-24 12:00:00+00:00,02486100,A,43.608
2021-04-24 12:15:00+00:00,02486100,A,50.404
2021-04-24 12:30:00+00:00,02486100,A,52.669
2021-04-24 12:45:00+00:00,02486100,A,50.97
2021-04-24 13:00:00+00:00,02486100,A,47.572
2021-04-24 13:15:00+00:00,02486100,A,44.174
2021-04-24 13:30:00+00:00,02486100,A,41.626
2021-04-24 13:45:00+00:00,02486100,A,39.36
2021-04-24 14:00:00+00:00,02486100,A,36.529
2021-04-24 14:15:00+00:00,02486100,A,32.564
2021-04-24 14:30:00+00:00,02486100,A,28.6
2021-04-24 14:45:00+00:00,02486100,A,23.56
2021-04-24 15:00:00+00:00,02486100,A,19.482
2021-04-24 15:15:00+00:00,02486100,A,15.999
2021-04-24 15:30:00+00:00,02486100,A,15.574
2021-04-24 15:45:00+00:00,02486100,A,10.506
2021-04-24 16:00:00+00:00,02486100,A,8.722
2021-04-24 16:15:00+00:00,02486100,A,7.419
2021-04-24 16:30:00+00:00,02486100,A,6.4
