datetime_utc,site_no,qual_cd,discharge_cms
2021-04-24 02:00:00+00:00,08061000,A,7.192
2021-04-24 02:15:00+00:00,08061000,A,7.589
2021-04-24 07:30:00+00:00,08061000,A,7.164
2021-04-24 07:45:00+00:00,08061000,A,7.306
2021-04-27 20:00:00+00:00,08061000,A,7.108
2021-04-27 20:15:00+00:00,08061000,A,7.957
2021-04-27 20:30:00+00:00,08061000,A,8.75
2021-04-27 20:45:00+00:00,08061000,A,9.43
2021-04-27 21:00:00+00:00,08061000,A,10.081
2021-04-27 21:15:00+00:00,08061000,A,10.534
2021-04-27 21:30:00+00:00,08061000,A,10.817
2021-04-27 21:45:00+00:00,08061000,A,11.072
2021-04-27 22:00:00+00:00,08061000,A,11.242
2021-04-27 22:15:00+00:00,08061000,A,11.44
2021-04-27 22:30:00+00:00,08061000,A,11.553
2021-04-27 22:45:00+00:00,08061000,A,11.61
2021-04-27 23:00:00+00:00,08061000,A,11.808
2021-04-27 23:15:00+00:00,08061000,A,11.667
2021-04-27 23:30:00+00:00,08061000,A,11.865
2021-04-27 23:45:00+00:00,08061000,A,11.921
2021-04-28 00:00:00+00:00,08061000,A,11.865
2021-04-28 00:15:00+00:00,08061000,A,11.865
2021-04-28 00:30:00+00:00,08061000,A,11.808
2021-04-28 00:45:00+00:00,08061000,A,11.751
2021-04-28 01:00:00+00:00,08061000,A,11.808
2021-04-28 01:15:00+00:00,08061000,A,11.751
2021-04-28 01:30:00+00:00,08061000,A,11.808
2021-04-28 01:45:00+00:00,08061000,A,11.865
2021-04-28 02:00:00+00:00,08061000,A,11.921
2021-04-28 02:15:00+00:00,08061000,A,11.865
2021-04-28 02:30:00+00:00,08061000,A,11.865
2021-04-28 02:45:00+00:00,08061000,A,11.865
2021-04-28 03:00:00+00:00,08061000,A,11.751
2021-04-28 03:15:00+00:00,08061000,A,11.751
2021-04-28 03:30:00+00:00,08061000,A,11.751
2021-04-28 03:45:00+00:00,08061000,A,11.808
2021-04-28 04:00:00+00:00,08061000,A,11.751
2021-04-28 04:15:00+00:00,08061000,A,11.865
2021-04-28 04:30:00+00:00,08061000,A,11.808
2021-04-28 04:45:00+00:00,08061000,A,11.808
2021-04-28 05:00:00+00:00,08061000,A,11.808
2021-04-28 05:15:00+00:00,08061000,A,11.808
2021-04-28 05:30:00+00:00,08061000,A,11.751
2021-04-28 05:45:00+00:00,08061000,A,11.751
2021-04-28 06:00:00+00:00,08061000,A,11.751
2021-04-28 06:15:00+00:00,08061000,A,11.808
2021-04-28 06:30:00+00:00,08061000,A,11.808
2021-04-28 06:45:00+00:00,08061000,A,11.865
2021-04-28 07:00:00+00:00,08061000,A,11.808
2021-04-28 07:15:00+00:00,08061000,A,11.751
2021-04-28 07:30:00+00:00,08061000,A,11.808
2021-04-28 07:45:00+00:00,08061000,A,11.667
2021-04-28 08:00:00+00:00,08061000,A,11.667
2021-04-28 08:15:00+00:00,08061000,A,11.553
2021-04-28 08:30:00+00:00,08061000,A,11.61
2021-04-28 08:45:00+00:00,08061000,A,11.553
2021-04-28 09:00:00+00:00,08061000,A,11.61
2021-04-28 09:15:00+00:00,08061000,A,11.667
2021-04-28 09:30:00+00:00,08061000,A,11.61
2021-04-28 09:45:00+00:00,08061000,A,11.61
2021-04-28 10:00:00+00:00,08061000,A,11.61
2021-04-28 10:15:00+00:00,08061000,A,11.61
2021-04-28 10:30:00+00:00,08061000,A,11.61
2021-04-28 10:45:00+00:00,08061000,A,11.61
2021-04-28 11:00:00+00:00,08061000,A,11.61
2021-04-28 11:15:00+00:00,08061000,A,11.553
2021-04-28 11:30:00+00:00,08061000,A,11.61
2021-04-28 11:45:00+00:00,08061000,A,11.61
2021-04-28 12:00:00+00:00,08061000,A,11.61
2021-04-28 12:15:00+00:00,08061000,A,11.61
2021-04-28 12:30:00+00:00,08061000,A,11.61
2021-04-28 12:45:00+00:00,08061000,A,11.553
2021-04-28 13:00:00+00:00,08061000,A,11.553
2021-04-28 13:15:00+00:00,08061000,A,11.553
2021-04-28 13:30:00+00:00,08061000,A,11.61
2021-04-28 13:45:00+00:00,08061000,A,11.61
2021-04-28 14:00:00+00:00,08061000,A,11.667
2021-04-28 14:15:00+00:00,08061000,A,11.667
2021-04-28 14:30:00+00:00,08061000,A,11.667
2021-04-28 14:45:00+00:00,08061000,A,11.667
2021-04-28 15:00:00+00:00,08061000,A,11.667
2021-04-28 15:15:00+00:00,08061000,A,11.751
2021-04-28 15:30:00+00:00,08061000,A,11.865
2021-04-28 15:45:00+00:00,08061000,A,11.865
2021-04-28 16:00:00+00:00,08061000,A,11.921
2021-04-28 16:15:00+00:00,08061000,A,11.978
2021-04-28 16:30:00+00:00,08061000,A,12.063
2021-04-28 16:45:00+00:00,08061000,A,12.063
2021-04-28 17:00:00+00:00,08061000,A,11.978
2021-04-28 17:15:00+00:00,08061000,A,11.865
2021-04-28 17:30:00+00:00,08061000,A,11.808
2021-04-28 17:45:00+00:00,08061000,A,11.751
2021-04-28 18:00:00+00:00,08061000,A,11.751
2021-04-28 18:15:00+00:00,08061000,A,11.61
2021-04-28 18:30:00+00:00,08061000,A,11.667
2021-04-28 18:45:00+00:00,08061000,A,11.667
2021-04-28 19:00:00+00:00,08061000,A,11.667
2021-04-28 19:15:00+00:00,08061000,A,11.808
2021-04-28 19:30:00+00:00,08061000,A,11.808
2021-04-28 19:45:00+00:00,08061000,A,11.808
2021-04-28 20:00:00+00:00,08061000,A,11.865
2021-04-28 20:15:00+00:00,08061000,A,11.751
2021-04-28 20:30:00+00:00,08061000,A,11.751
2021-04-28 20:45:00+00:00,08061000,A,11.61
2021-04-28 21:00:00+00:00,08061000,A,11.61
2021-04-28 21:15:00+00:00,08061000,A,11.553
2021-04-28 21:30:00+00:00,08061000,A,11.61
2021-04-28 21:45:00+00:00,08061000,A,11.553
2021-04-28 22:00:00+00:00,08061000,A,11.553
2021-04-28 22:15:00+00:00,08061000,A,11.61
2021-04-28 22:30:00+00:00,08061000,A,11.553
2021-04-28 22:45:00+00:00,08061000,A,11.553
2021-04-28 23:00:00+00:00,08061000,A,11.497
2021-04-28 23:15:00+00:00,08061000,A,11.497
2021-04-28 23:30:00+00:00,08061000,A,11.497
2021-04-28 23:45:00+00:00,08061000,A,11.44
2021-04-29 00:00:00+00:00,08061000,A,11.497
2021-04-29 00:15:00+00:00,08061000,A,11.497
2021-04-29 00:30:00+00:00,08061000,A,11.497
