datetime_utc,site_no,qual_cd,discharge_cms
2022-01-09 16:15:00+00:00,03426387,A,10.534
2022-01-09 16:20:00+00:00,03426387,A,10.874
2022-01-09 16:25:00+00:00,03426387,A,11.1
2022-01-09 16:30:00+00:00,03426387,A,11.129
2022-01-09 16:35:00+00:00,03426387,A,11.298
2022-01-09 16:40:00+00:00,03426387,A,11.242
2022-01-09 16:45:00+00:00,03426387,A,11.355
2022-01-09 16:50:00+00:00,03426387,A,11.355
2022-01-09 16:55:00+00:00,03426387,A,11.383
2022-01-09 17:00:00+00:00,03426387,A,11.468
2022-01-09 17:05:00+00:00,03426387,A,11.497
2022-01-09 17:10:00+00:00,03426387,A,11.553
2022-01-09 17:15:00+00:00,03426387,A,11.497
2022-01-09 17:20:00+00:00,03426387,A,11.44
2022-01-09 17:25:00+00:00,03426387,A,11.383
2022-01-09 17:30:00+00:00,03426387,A,11.383
2022-01-09 17:35:00+00:00,03426387,A,11.298
2022-01-09 17:40:00+00:00,03426387,A,11.27
2022-01-09 17:45:00+00:00,03426387,A,11.242
2022-01-09 17:50:00+00:00,03426387,A,11.129
2022-01-09 17:55:00+00:00,03426387,A,10.93
2022-01-09 18:00:00+00:00,03426387,A,10.93
2022-01-09 18:05:00+00:00,03426387,A,10.789
2022-01-09 18:10:00+00:00,03426387,A,10.76
2022-01-09 18:15:00+00:00,03426387,A,10.534
2022-02-03 18:55:00+00:00,03426387,A,10.789
2022-02-03 19:00:00+00:00,03426387,A,11.072
2022-02-03 19:05:00+00:00,03426387,A,11.383
2022-02-03 19:10:00+00:00,03426387,A,11.525
2022-02-03 19:15:00+00:00,03426387,A,11.808
2022-02-03 19:20:00+00:00,03426387,A,11.865
2022-02-03 19:25:00+00:00,03426387,A,12.006
2022-02-03 19:30:00+00:00,03426387,A,12.091
2022-02-03 19:35:00+00:00,03426387,A,12.205
2022-02-03 19:40:00+00:00,03426387,A,12.686
2022-02-03 19:45:00+00:00,03426387,A,12.969
2022-02-03 19:50:00+00:00,03426387,A,13.196
2022-02-03 19:55:00+00:00,03426387,A,13.564
2022-02-03 20:00:00+00:00,03426387,A,13.989
2022-02-03 20:05:00+00:00,03426387,A,14.47
2022-02-03 20:10:00+00:00,03426387,A,14.923
2022-02-03 20:15:00+00:00,03426387,A,15.234
