datetime_utc,site_no,qual_cd,discharge_cms
2021-04-19 05:00:00+00:00,05587450,A,6031.483
2021-04-19 05:30:00+00:00,05587450,A,6003.166
2021-04-19 06:00:00+00:00,05587450,A,6003.166
2021-04-19 06:30:00+00:00,05587450,A,6003.166
2021-04-19 07:00:00+00:00,05587450,A,6003.166
2021-04-19 07:30:00+00:00,05587450,A,5974.849
2021-04-19 08:00:00+00:00,05587450,A,5974.849
2021-04-19 08:30:00+00:00,05587450,A,5974.849
2021-04-19 09:00:00+00:00,05587450,A,5974.849
2021-04-19 09:30:00+00:00,05587450,A,5974.849
2021-04-19 10:00:00+00:00,05587450,A,5946.532
2021-04-19 10:30:00+00:00,05587450,A,5946.532
2021-04-19 11:30:00+00:00,05587450,A,5889.899
2021-04-19 12:00:00+00:00,05587450,A,5861.582
2021-04-19 12:30:00+00:00,05587450,A,5776.631
2021-04-19 13:00:00+00:00,05587450,A,5748.314
2021-04-19 13:30:00+00:00,05587450,A,5748.314
2021-04-19 14:00:00+00:00,05587450,A,5663.364
2021-04-19 14:30:00+00:00,05587450,A,5635.047
2021-04-19 15:00:00+00:00,05587450,A,5635.047
2021-04-19 15:30:00+00:00,05587450,A,5606.73
2021-04-19 16:00:00+00:00,05587450,A,5550.097
2021-04-19 16:30:00+00:00,05587450,A,5550.097
2021-04-19 18:30:00+00:00,05587450,A,5408.513
2021-04-19 19:00:00+00:00,05587450,A,5351.879
2021-04-19 19:30:00+00:00,05587450,A,5323.562
2021-04-19 20:00:00+00:00,05587450,A,5295.245
2021-04-19 22:30:00+00:00,05587450,A,5238.612
2021-04-19 23:30:00+00:00,05587450,A,5266.929
2021-04-20 00:00:00+00:00,05587450,A,5266.929
2021-04-20 00:30:00+00:00,05587450,A,5295.245
2021-04-20 01:30:00+00:00,05587450,A,5323.562
2021-04-20 02:00:00+00:00,05587450,A,5295.245
2021-04-20 02:30:00+00:00,05587450,A,5323.562
2021-04-20 03:00:00+00:00,05587450,A,5323.562
2021-04-20 03:30:00+00:00,05587450,A,5266.929
2021-04-20 04:00:00+00:00,05587450,A,5266.929
2021-04-20 04:30:00+00:00,05587450,A,5238.612
2021-04-20 05:00:00+00:00,05587450,A,5238.612
2021-04-20 05:30:00+00:00,05587450,A,5181.978
2021-04-20 06:00:00+00:00,05587450,A,5181.978
2021-04-20 06:30:00+00:00,05587450,A,5125.344
2021-04-20 07:30:00+00:00,05587450,A,5068.711
2021-04-20 08:00:00+00:00,05587450,A,5012.077
2021-04-20 08:30:00+00:00,05587450,A,4983.76
2021-04-20 09:00:00+00:00,05587450,A,4955.443
2021-04-20 09:30:00+00:00,05587450,A,4927.127
2021-04-20 10:00:00+00:00,05587450,A,4927.127
2021-04-20 10:30:00+00:00,05587450,A,4898.81
2021-04-20 11:00:00+00:00,05587450,A,4842.176
2021-04-20 11:30:00+00:00,05587450,A,4842.176
2021-04-20 12:00:00+00:00,05587450,A,4813.859
2021-04-20 12:30:00+00:00,05587450,A,4813.859
2021-04-20 13:00:00+00:00,05587450,A,4757.226
2021-04-20 13:30:00+00:00,05587450,A,4700.592
2021-04-20 14:00:00+00:00,05587450,A,4700.592
2021-04-20 14:30:00+00:00,05587450,A,4672.275
2021-04-20 15:00:00+00:00,05587450,A,4672.275
2021-04-20 15:30:00+00:00,05587450,A,4615.642
2021-04-20 16:30:00+00:00,05587450,A,4587.325
2021-04-20 17:00:00+00:00,05587450,A,4587.325
2021-04-20 17:30:00+00:00,05587450,A,4559.008
2021-04-20 18:30:00+00:00,05587450,A,4559.008
2021-04-20 19:00:00+00:00,05587450,A,4559.008
2021-04-20 20:30:00+00:00,05587450,A,4559.008
2021-04-20 21:30:00+00:00,05587450,A,4587.325
2021-04-20 22:00:00+00:00,05587450,A,4672.275
2021-04-20 22:30:00+00:00,05587450,A,4643.958
2021-04-20 23:00:00+00:00,05587450,A,4672.275
2021-04-20 23:30:00+00:00,05587450,A,4700.592
2021-04-21 00:00:00+00:00,05587450,A,4700.592
2021-04-21 00:30:00+00:00,05587450,A,4672.275
2021-04-21 01:00:00+00:00,05587450,A,4728.909
2021-04-21 01:30:00+00:00,05587450,A,4700.592
2021-04-21 02:00:00+00:00,05587450,A,4700.592
2021-04-21 02:30:00+00:00,05587450,A,4700.592
2021-04-21 03:00:00+00:00,05587450,A,4700.592
2021-04-21 03:30:00+00:00,05587450,A,4700.592
2021-04-21 04:00:00+00:00,05587450,A,4672.275
2021-04-21 04:30:00+00:00,05587450,A,4757.226
2021-04-21 05:00:00+00:00,05587450,A,4728.909
2021-04-21 05:30:00+00:00,05587450,A,4728.909
2021-04-21 06:00:00+00:00,05587450,A,4728.909
2021-04-21 06:30:00+00:00,05587450,A,4728.909
2021-04-21 07:30:00+00:00,05587450,A,4700.592
2021-04-21 08:00:00+00:00,05587450,A,4728.909
2021-04-21 08:30:00+00:00,05587450,A,4700.592
2021-04-21 09:00:00+00:00,05587450,A,4700.592
2021-04-21 09:30:00+00:00,05587450,A,4700.592
2021-04-21 10:00:00+00:00,05587450,A,4643.958
2021-04-21 10:30:00+00:00,05587450,A,4643.958
2021-04-21 11:00:00+00:00,05587450,A,4643.958
2021-04-21 11:30:00+00:00,05587450,A,4587.325
2021-04-21 12:00:00+00:00,05587450,A,4587.325
2021-04-21 12:30:00+00:00,05587450,A,4587.325
2021-04-21 13:00:00+00:00,05587450,A,4559.008
2021-04-21 14:00:00+00:00,05587450,A,4587.325
2021-04-21 14:30:00+00:00,05587450,A,4559.008
2021-04-21 15:00:00+00:00,05587450,A,4559.008
2021-04-21 15:30:00+00:00,05587450,A,4559.008
2021-04-21 16:30:00+00:00,05587450,A,4530.691
2021-04-21 17:00:00+00:00,05587450,A,4559.008
2021-04-21 17:30:00+00:00,05587450,A,4530.691
2021-04-21 18:30:00+00:00,05587450,A,4530.691
2021-04-21 19:00:00+00:00,05587450,A,4502.374
2021-04-21 20:00:00+00:00,05587450,A,4474.058
