peak_time_utc,peak_flow_cms,peak_probability,site_no
2024-05-16 20:00:00,134.0,0.6801252634373905,01202501
2024-05-28 05:30:00,136.0,0.6667776687474831,01202501
2024-05-30 16:15:00,120.0,0.5972144716970347,01202501
2024-07-06 15:15:00,343.0,0.918970170230308,01202501
2024-07-19 04:00:00,127.0,0.5180349647825,01202501
2024-08-10 07:30:00,390.0,0.9706885864497456,01202501
2024-08-20 01:30:00,117.0,0.5382496385263177,01202501
2024-12-30 16:00:00,137.0,0.6275907250477976,01202501
2023-09-25 16:30:00,215.0,0.8903047961418027,01203510
2023-09-29 20:30:00,1510.0,0.9933671667359192,01203510
2023-10-07 18:30:00,221.0,0.8763277748514252,01203510
2023-10-14 21:45:00,87.7,0.6482145383948693,01203510
2023-10-21 09:45:00,170.0,0.7430370225217072,01203510
2023-10-30 10:45:00,147.0,0.7398288418602167,01203510
2023-11-22 08:15:00,287.0,0.9725132607198889,01203510
2023-11-27 04:15:00,145.0,0.6479079432962446,01203510
2023-12-03 17:15:00,125.0,0.7582628373101552,01203510
2023-12-11 05:00:00,482.0,0.9775038037202364,01203510
2023-12-15 21:30:00,103.0,0.7349753182588308,01203510
2023-12-18 10:15:00,1560.0,0.9835196644079695,01203510
2023-12-28 08:15:00,1010.0,0.9737813140704723,01203510
2024-01-10 03:45:00,2010.0,0.9837217725161319,01203510
2024-01-13 07:45:00,659.0,0.9782505388314329,01203510
2024-01-25 06:15:00,219.0,0.9503540867183893,01203510
2024-01-28 11:45:00,379.0,0.9711504647647843,01203510
2024-02-23 20:15:00,99.9,0.6582767619963181,01203510
2024-02-28 23:45:00,161.0,0.6558435605792725,01203510
2024-03-02 21:30:00,281.0,0.97743645741121,01203510
2024-03-07 01:30:00,631.0,0.9777946223508422,01203510
2024-03-10 01:30:00,651.0,0.9732144975209451,01203510
2024-03-23 19:00:00,1100.0,0.973800804414449,01203510
2024-03-28 17:45:00,205.0,0.9091240129170884,01203510
2024-04-03 20:30:00,419.0,0.967605994558338,01203510
2024-04-12 07:30:00,574.0,0.9779286466162104,01203510
2024-04-18 09:45:00,150.0,0.7698684157517106,01203510
2024-04-20 10:45:00,127.0,0.7986630651718758,01203510
2024-04-24 17:15:00,87.7,0.5080107953320722,01203510
2024-05-06 02:00:00,117.0,0.7697988682500267,01203510
2024-05-08 10:00:00,102.0,0.7064029782540959,01203510
2024-05-10 12:15:00,94.2,0.7660348267156186,01203510
2024-05-16 08:00:00,133.0,0.735403243975109,01203510
2024-05-23 12:30:00,304.0,0.9726717295740837,01203510
2024-05-27 20:30:00,112.0,0.7366476986432785,01203510
2024-05-30 07:00:00,215.0,0.8559324113851029,01203510
2024-06-22 22:15:00,221.0,0.871573449563043,01203510
2024-06-27 04:15:00,80.5,0.6136192173631493,01203510
2024-06-30 17:45:00,274.0,0.9726037225140609,01203510
2024-07-06 10:00:00,301.0,0.9726375406762839,01203510
2024-07-13 10:30:00,208.0,0.8011605399955748,01203510
2024-07-18 00:15:00,242.0,0.8922201903544662,01203510
2024-08-18 13:15:00,1410.0,0.9683957629621911,01203510
2024-11-22 03:00:00,163.0,0.6548370357578481,01203510
2024-12-11 22:00:00,202.0,0.8853055537489452,01203510
2024-12-17 07:15:00,107.0,0.716630415664509,01203510
2024-12-30 08:15:00,133.0,0.6407026114716529,01203510
2025-02-16 21:45:00,162.0,0.6049307021548617,01203510
2023-09-25 14:30:00,724.0,0.9783562644192679,01203600
2023-09-29 14:00:00,2940.0,0.9836194563478123,01203600
2023-10-07 18:00:00,670.0,0.9636741146514849,01203600
2023-10-21 11:30:00,209.0,0.8620814051777964,01203600
2023-10-30 17:15:00,67.5,0.7054501089780213,01203600
2023-11-22 08:00:00,120.0,0.7130659506195508,01203600
2023-11-27 04:00:00,147.0,0.6172324423950096,01203600
2023-12-03 17:00:00,97.3,0.7656661211572904,01203600
2023-12-11 04:00:00,528.0,0.9679739588421222,01203600
2023-12-18 06:45:00,2250.0,0.9739625072385516,01203600
2023-12-21 12:00:00,119.0,0.5969704700560401,01203600
2023-12-28 07:30:00,1500.0,0.9938830995652265,01203600
2024-01-10 02:15:00,3220.0,0.9689866523012759,01203600
2024-01-13 06:00:00,761.0,0.9686223517894884,01203600
2024-01-17 12:45:00,66.2,0.6494557586147147,01203600
2024-01-26 07:30:00,229.0,0.8775545652482863,01203600
2024-01-28 10:00:00,270.0,0.8825541982574601,01203600
2024-02-23 19:00:00,61.6,0.7245274240496183,01203600
2024-02-28 11:45:00,189.0,0.90577477465818,01203600
2024-03-02 21:45:00,233.0,0.8825391471737452,01203600
2024-03-06 23:45:00,969.0,0.9838911937439696,01203600
2024-03-10 01:15:00,717.0,0.9735544928882082,01203600
2024-03-23 18:00:00,1140.0,0.9787561120964854,01203600
2024-03-28 07:15:00,127.0,0.7566566182762547,01203600
2024-04-03 21:30:00,294.0,0.897477933329524,01203600
2024-04-12 06:15:00,486.0,0.9720816475803283,01203600
2024-04-14 21:00:00,88.8,0.7434539409983562,01203600
2024-04-18 11:30:00,108.0,0.8256021296381649,01203600
2024-04-20 11:30:00,65.1,0.6538224694046296,01203600
2024-05-06 00:45:00,75.0,0.7962886706518917,01203600
2024-05-10 09:00:00,58.2,0.7412605511749994,01203600
2024-05-16 07:30:00,80.4,0.801446261738112,01203600
2024-05-27 20:30:00,55.0,0.7780237819241923,01203600
2024-05-30 09:30:00,91.8,0.8298840768109893,01203600
2024-06-23 04:45:00,46.0,0.526361930124185,01203600
2024-06-27 06:45:00,46.0,0.556363689873987,01203600
2024-06-30 15:15:00,1160.0,0.983887290612022,01203600
2024-07-05 22:45:00,2740.0,0.9939961193171369,01203600
2024-07-18 00:15:00,153.0,0.7361619808710439,01203600
2024-07-23 07:00:00,43.2,0.5393232890822849,01203600
2024-07-31 19:30:00,121.0,0.6938422476031728,01203600
2024-08-06 23:45:00,94.8,0.7452988304498828,01203600
2024-08-10 05:30:00,253.0,0.8727196405014261,01203600
2024-08-18 17:15:00,6420.0,0.9790860683131142,01203600
2024-09-07 21:15:00,39.3,0.5665784255178482,01203600
2024-11-22 04:00:00,96.3,0.7555834935649096,01203600
2024-12-11 22:30:00,199.0,0.8914999746311995,01203600
2024-12-19 02:00:00,72.4,0.7269809564333218,01203600
2024-12-30 07:30:00,194.0,0.8617268910369492,01203600
2025-01-01 21:30:00,69.9,0.6075350427677902,01203600
2025-02-01 01:15:00,62.7,0.7959134174948734,01203600
2025-02-16 21:00:00,236.0,0.8726232687166724,01203600
2025-02-25 17:45:00,60.4,0.673729027631581,01203600
2025-02-27 17:45:00,87.4,0.7561770174525541,01203600
2023-09-25 15:00:00,476.0,0.9877145383782328,01203805
2023-09-29 15:45:00,3560.0,0.9684347864016611,01203805
