feature_id,return_period_2,return_period_5,return_period_10,return_period_25,return_period_50,return_period_100
1293064,243.25,368.82,451.96,557.01,634.94,712.29
1268410,375.75,576.51,709.43,877.37,1001.95,1125.62
1279696,337.37,586.05,750.7,958.73,1113.06,1266.26
1260357,70.54,108.59,133.79,165.63,189.24,212.68
1268740,68.5,122.34,157.99,203.03,236.45,269.61
1279586,99.03,141.75,170.03,205.77,232.29,258.6
1268578,132.97,287.93,390.53,520.16,616.32,711.78
1305941,186.41,468.56,655.36,891.4,1066.5,1240.31
1268356,303.24,483.4,602.69,753.41,865.22,976.2
1293094,359.78,528.09,639.53,780.34,884.8,988.48
1260353,406.83,623.63,767.17,948.53,1083.08,1216.63
1268426,472.78,746.57,927.84,1156.87,1326.78,1495.44
1269868,502.72,863.63,1102.59,1404.51,1628.49,1850.82
1293010,569.54,923.49,1157.84,1453.94,1673.61,1891.65
1268934,38.24,97.23,136.29,185.64,222.26,258.6
1292272,66.61,121.33,157.55,203.32,237.28,270.98
1268514,116.98,218.89,286.36,371.61,434.86,497.64
1268648,124.78,246.39,326.9,428.63,504.1,579.01
1292128,226.54,397.39,510.52,653.44,759.48,864.73
1292124,339.24,627.12,817.72,1058.54,1237.19,1414.53
1268382,557.07,948.67,1207.94,1535.53,1778.55,2019.78
1276822,3.96,8.39,11.33,15.03,17.78,20.51
1277240,48.43,93.3,123.01,160.55,188.39,216.03
1292096,39.23,98.84,138.32,188.19,225.19,261.92
1260405,125.29,207.05,261.19,329.58,380.32,430.69
1278624,128.11,258.98,345.63,455.11,536.33,616.95
1277178,126.24,301.7,417.86,564.64,673.53,781.61
1276892,126.22,333.93,471.44,645.19,774.09,902.04
1268884,278.65,430.23,530.58,657.38,751.45,844.82
1268904,297.59,450.31,551.42,679.18,773.95,868.03
1279694,309.59,552.11,712.68,915.56,1066.07,1215.47
1262531,1277.56,2182.28,2781.28,3538.12,4099.59,4656.91
1446926,16.27,32.35,42.99,56.45,66.43,76.33
1446498,88.6,195.82,266.81,356.5,423.04,489.09
5499434,150.01,316.09,426.06,564.99,668.07,770.38
880478,9029.61,12661.87,15066.73,18105.29,20359.46,22596.99
22071094,1.45,2.92,3.9,5.13,6.04,6.95
3060564,11.21,20.7,26.98,34.92,40.81,46.65
15758118,134.79,185.87,219.68,262.4,294.1,325.56
1446644,301.56,589.48,780.12,1020.98,1199.67,1377.04
15756778,68.72,102.62,125.07,153.43,174.46,195.35
1262643,1192.38,2033.49,2590.38,3294.01,3816.01,4334.15
1262903,1254.63,2145.87,2735.95,3481.51,4034.61,4583.63
6013168,8081.89,11979.4,14559.89,17820.35,20239.14,22640.07
18223461,40.47,70.09,89.7,114.49,132.87,151.12
15756526,56.74,77.57,91.36,108.79,121.72,134.55
1297270,291.07,455.43,564.25,701.75,803.75,905.0
6010106,8084.24,11977.45,14555.1,17811.97,20228.09,22626.38
2926497,6.32,10.1,12.6,15.76,18.11,20.44
5497826,57.09,132.28,182.06,244.96,291.62,337.94
1292996,147.07,230.53,285.79,355.61,407.41,458.82
1297176,144.12,241.69,306.3,387.92,448.48,508.58
5512008,116.16,321.99,458.26,630.44,758.18,884.97
5512484,165.42,335.92,448.81,591.44,697.25,802.29
5512092,181.87,366.78,489.2,643.89,758.64,872.55
5498058,199.76,409.15,547.79,722.95,852.9,981.89
1446974,207.8,436.36,587.69,778.9,920.74,1061.54
15758318,544.71,814.43,993.0,1218.63,1386.02,1552.17
942030011,983.55,1678.74,2139.01,2720.56,3151.99,3580.24
4782593,808.49,1471.31,1910.15,2464.63,2875.97,3284.27
